date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:33:36	620107/620107	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Jun%202021%2016:33:35%20GMT	https://sites.google.com/site/riparaincangku/lipadiax/acirlo%e6%ad%8c%e8%a9%9e/indonexija-niejod	C:/My%20Web%20Sites/lineparine_soko/sites.google.com/site/riparaincangku/lipadiax/acirlo%e6%ad%8c%e8%a9%9e/indonexija-niejod.html	(from https://sites.google.com/site/riparaincangku/%e3%83%9b%e3%83%bc%e3%83%a0)
01:33:36	616361/616361	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Jun%202021%2016:33:35%20GMT	https://sites.google.com/site/riparaincangku/lipadiax/acirlo%e6%ad%8c%e8%a9%9e/kageroudeisu	C:/My%20Web%20Sites/lineparine_soko/sites.google.com/site/riparaincangku/lipadiax/acirlo%e6%ad%8c%e8%a9%9e/kageroudeisu.html	(from https://sites.google.com/site/riparaincangku/%e3%83%9b%e3%83%bc%e3%83%a0)
01:33:36	616072/616072	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Jun%202021%2016:33:36%20GMT	https://sites.google.com/site/riparaincangku/lipadiax/acirlo%e6%ad%8c%e8%a9%9e/katyrxa	C:/My%20Web%20Sites/lineparine_soko/sites.google.com/site/riparaincangku/lipadiax/acirlo%e6%ad%8c%e8%a9%9e/katyrxa.html	(from https://sites.google.com/site/riparaincangku/%e3%83%9b%e3%83%bc%e3%83%a0)
01:33:37	620043/620043	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Jun%202021%2016:33:36%20GMT	https://sites.google.com/site/riparaincangku/lipadiax/acirlo%e6%ad%8c%e8%a9%9e/kejix-ladircco	C:/My%20Web%20Sites/lineparine_soko/sites.google.com/site/riparaincangku/lipadiax/acirlo%e6%ad%8c%e8%a9%9e/kejix-ladircco.html	(from https://sites.google.com/site/riparaincangku/%e3%83%9b%e3%83%bc%e3%83%a0)
01:33:37	621414/621414	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Jun%202021%2016:33:36%20GMT	https://sites.google.com/site/riparaincangku/lipadiax/acirlo%e6%ad%8c%e8%a9%9e/ljumescel-la-lartass-da-alt-vej-corlnjeu-ankj	C:/My%20Web%20Sites/lineparine_soko/sites.google.com/site/riparaincangku/lipadiax/acirlo%e6%ad%8c%e8%a9%9e/ljumescel-la-lartass-da-alt-vej-corlnjeu-ankj.html	(from https://sites.google.com/site/riparaincangku/%e3%83%9b%e3%83%bc%e3%83%a0)
01:33:38	612704/612704	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Jun%202021%2016:33:37%20GMT	https://sites.google.com/site/riparaincangku/lipadiax/acirlo%e6%ad%8c%e8%a9%9e/la-echaltyrxen	C:/My%20Web%20Sites/lineparine_soko/sites.google.com/site/riparaincangku/lipadiax/acirlo%e6%ad%8c%e8%a9%9e/la-echaltyrxen.html	(from https://sites.google.com/site/riparaincangku/%e3%83%9b%e3%83%bc%e3%83%a0)
01:33:38	615367/615367	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Jun%202021%2016:33:37%20GMT	https://sites.google.com/site/riparaincangku/lipadiax/acirlo%e6%ad%8c%e8%a9%9e/la-sneriend-acirlo	C:/My%20Web%20Sites/lineparine_soko/sites.google.com/site/riparaincangku/lipadiax/acirlo%e6%ad%8c%e8%a9%9e/la-sneriend-acirlo.html	(from https://sites.google.com/site/riparaincangku/%e3%83%9b%e3%83%bc%e3%83%a0)
01:33:38	623053/623053	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Jun%202021%2016:33:38%20GMT	https://sites.google.com/site/riparaincangku/lipadiax/acirlo%e6%ad%8c%e8%a9%9e/lietuvad-cavierten-yuesderaven-chafiofesed-acirlon	C:/My%20Web%20Sites/lineparine_soko/sites.google.com/site/riparaincangku/lipadiax/acirlo%e6%ad%8c%e8%a9%9e/lietuvad-cavierten-yuesderaven-chafiofesed-acirlon.html	(from https://sites.google.com/site/riparaincangku/%e3%83%9b%e3%83%bc%e3%83%a0)
01:33:39	614261/614261	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Jun%202021%2016:33:38%20GMT	https://sites.google.com/site/riparaincangku/lipadiax/acirlo%e6%ad%8c%e8%a9%9e/lineparine-laoziao	C:/My%20Web%20Sites/lineparine_soko/sites.google.com/site/riparaincangku/lipadiax/acirlo%e6%ad%8c%e8%a9%9e/lineparine-laoziao.html	(from https://sites.google.com/site/riparaincangku/%e3%83%9b%e3%83%bc%e3%83%a0)
01:33:39	622271/622271	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Jun%202021%2016:33:38%20GMT	https://sites.google.com/site/riparaincangku/lipadiax/acirlo%e6%ad%8c%e8%a9%9e/mal-wioll-mak-miss-zel-snelodo	C:/My%20Web%20Sites/lineparine_soko/sites.google.com/site/riparaincangku/lipadiax/acirlo%e6%ad%8c%e8%a9%9e/mal-wioll-mak-miss-zel-snelodo.html	(from https://sites.google.com/site/riparaincangku/%e3%83%9b%e3%83%bc%e3%83%a0)
